Team,Year,POS,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,G-xG,GA-xGA,PTS-xPTS,G/xG,GA/xGA,PTS/xPTS,Shots pg,Possession,Pass,AerialsWon,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Offensive Fouled pg,Rating,NextYear
Tottenham,2015,3,38,19,13,6,69,35,70,63.42,59.61,37.08,35.56,24.05,6.44,10.88,255,182,69.41,5.579999999999997,-2.0799999999999983,0.5900000000000034,1.0879848628192998,0.9439050701186624,1.0085002161071892,17.3,55.3,80.5,14.3,21.1,17.0,11.9,1.9,6.6,9.5,10.2,7.01,1
Manchester City,2015,4,38,19,9,10,71,41,66,66.2,60.11,37.47,36.71,23.4,7.78,11.42,379,149,70.14,4.799999999999997,3.530000000000001,-4.1400000000000015,1.0725075528700907,1.0942087002935683,0.9409751924721984,16.2,55.2,83.1,15.7,19.2,16.6,10.8,1.7,5.5,12.0,10.1,7.01,0
Manchester United,2015,5,38,19,9,10,49,35,66,45.42,43.14,39.66,38.13,5.01,7.73,11.49,272,198,56.44,3.5799999999999983,-4.659999999999997,9.560000000000002,1.0788199031263759,0.8825012607160868,1.1693834160170091,11.3,55.8,82.3,13.1,20.0,15.6,12.4,2.0,3.8,9.8,9.4,6.83,0
Southampton,2015,6,38,18,9,11,59,41,63,56.2,53.09,44.29,43.53,9.55,9.12,11.14,276,194,61.08,2.799999999999997,-3.2899999999999987,1.9200000000000017,1.0498220640569391,0.9257168661097314,1.031434184675835,13.7,49.3,77.7,19.3,18.8,18.6,11.0,2.6,4.4,7.1,9.6,6.91,1
West Ham,2015,7,38,16,14,8,65,51,62,54.4,51.36,55.48,49.39,1.97,9.31,8.81,212,260,49.8,10.6,-4.479999999999997,12.200000000000005,1.1948529411764706,0.9192501802451334,1.244979919678715,14.7,49.1,77.6,17.7,18.7,17.5,10.1,2.2,4.9,10.4,11.8,6.92,1
Liverpool,2015,8,38,16,12,10,63,50,60,54.37,52.84,37.88,35.53,17.32,7.48,10.85,373,158,63.29,8.630000000000003,12.119999999999996,-3.2899999999999987,1.1587272392863712,1.319957761351637,0.9480170643071576,16.6,55.0,80.2,16.5,22.9,14.5,11.1,2.4,5.3,10.8,9.9,6.91,0
Stoke,2015,9,38,14,9,15,41,55,51,42.63,38.82,54.35,50.54,-11.72,9.94,9.53,179,257,48.3,-1.6300000000000026,0.6499999999999986,2.700000000000003,0.961764015951208,1.0119595216191353,1.0559006211180124,11.0,50.0,79.1,16.4,18.7,15.2,11.0,2.7,3.4,10.6,10.1,6.74,1
Chelsea,2015,10,38,12,14,12,59,53,50,54.48,50.67,44.63,41.58,9.09,8.53,10.08,354,194,59.62,4.520000000000003,8.369999999999997,-9.619999999999996,1.0829662261380324,1.1875420120994846,0.8386447500838645,13.8,54.4,82.5,14.1,20.8,13.6,10.6,2.4,4.6,12.3,12.6,6.87,0
Everton,2015,11,38,11,14,13,59,55,47,53.98,50.18,54.75,50.18,-0.01,11.12,10.0,256,304,52.69,5.020000000000003,0.25,-5.689999999999998,1.0929974064468322,1.0045662100456618,0.8920098690453597,12.9,51.5,81.4,12.9,19.2,13.4,8.3,1.4,4.6,11.7,10.8,6.88,1
Swansea,2015,12,38,12,11,15,42,52,47,39.96,36.15,53.63,52.11,-15.96,9.46,10.77,188,254,42.4,2.039999999999999,-1.6300000000000026,4.600000000000001,1.0510510510510511,0.9696065634905836,1.1084905660377358,11.6,52.0,80.9,13.7,16.8,17.9,10.3,2.2,3.6,7.9,11.9,6.75,0
Watford,2015,13,38,12,9,17,40,50,45,43.2,37.87,51.85,45.74,-7.87,9.39,8.0,193,241,48.25,-3.200000000000003,-1.8500000000000012,-3.25,0.9259259259259258,0.9643201542912246,0.932642487046632,11.7,46.3,72.6,17.4,20.9,20.2,12.1,1.4,3.7,8.7,10.2,6.8,1
West Bromwich Albion,2015,14,38,10,13,15,34,48,43,39.75,35.93,51.94,47.37,-11.44,11.41,7.2,168,256,42.3,-5.75,-3.9399999999999977,0.7000000000000028,0.8553459119496856,0.9241432422025414,1.016548463356974,10.2,42.3,70.0,19.1,16.9,19.0,10.3,1.8,2.8,7.6,10.3,6.72,0
Crystal Palace,2015,15,38,11,9,18,39,51,42,42.51,38.7,52.94,49.89,-11.19,9.03,7.8,161,306,44.89,-3.509999999999998,-1.9399999999999975,-2.890000000000001,0.9174311926605504,0.9633547412164716,0.9356204054355092,12.3,46.8,74.4,17.8,17.1,18.4,12.4,2.1,4.0,10.3,11.3,6.76,0
Bournemouth,2015,16,38,11,9,18,45,67,42,38.71,35.66,53.97,49.4,-13.74,9.03,10.03,199,216,43.77,6.289999999999999,13.03,-1.7700000000000031,1.1624903125807284,1.2414304243098018,0.9595613433858806,12.2,51.0,79.8,15.3,18.6,16.8,9.5,1.7,3.7,10.9,10.4,6.71,1
Sunderland,2015,17,38,9,12,17,48,62,39,40.52,38.23,58.85,52.76,-14.53,11.64,7.68,188,312,40.52,7.479999999999998,3.1499999999999986,-1.5200000000000031,1.1846001974333662,1.0535259133389974,0.9624876604146101,11.6,43.3,71.0,17.3,20.2,14.9,10.6,2.3,3.7,8.0,10.1,6.76,0
Newcastle United,2015,18,38,9,10,19,44,65,37,37.61,35.32,55.42,51.62,-16.3,11.48,7.6,154,294,40.21,6.3900000000000015,9.579999999999998,-3.2100000000000013,1.1699016219090668,1.1728617827499097,0.920169112161154,10.4,47.4,76.6,13.9,20.8,16.9,11.0,1.6,4.0,9.7,9.5,6.73,0
